DATE (MM/DD/YYYY),HOUR-MST,Avg Avg Wind Speed @ 2m [m/s],Avg Avg Wind Speed @ 5m [m/s],Avg Avg Wind Speed @ 10m [m/s],Avg Avg Wind Speed @ 20m [m/s],Avg Avg Wind Speed @ 50m [m/s],Avg Avg Wind Speed @ 80m [m/s]
1/1/2010,0,2.2143,2.5209,2.6319,2.8399,3.0649,3.091
1/1/2010,1,10.7672,11.9233,13.0955,14.2309,15.8653,15.7873
1/1/2010,2,7.387,8.2247,8.9531,9.7328,10.9088,10.8154
1/1/2010,3,5.3685,5.9676,6.5364,7.2086,7.9747,7.9127
1/1/2010,4,3.7746,4.6083,5.1164,5.6899,6.1737,5.8042
1/1/2010,5,9.1856,10.2019,11.3986,12.6631,14.3724,14.4278
1/1/2010,6,5.3271,6.032,6.645,7.4687,8.5217,8.6178
1/1/2010,7,2.1667,2.3811,2.4213,2.7048,3.07,2.924
1/1/2010,8,1.4568,1.8694,1.9151,1.9375,1.9354,1.6477
1/1/2010,9,1.4595,1.9972,2.1195,2.2344,1.9607,1.5688
1/1/2010,10,2.2891,2.5902,2.7333,3.1595,4.0211,3.8905
1/1/2010,11,1.4247,1.5795,1.6286,1.9375,2.4398,2.7178
1/1/2010,12,2.041,2.2328,2.2916,2.5452,3.0365,3.0202
1/1/2010,13,4.5441,5.0856,5.5087,5.9487,6.3992,6.4103
1/1/2010,14,1.4744,1.6216,1.6444,1.7528,1.6089,1.2724
1/1/2010,15,2.3287,2.6068,2.6416,2.8306,2.9449,2.8085
1/1/2010,16,2.1766,2.492,2.6104,2.8753,3.1582,3.0766
1/1/2010,17,2.139,2.5299,2.8201,3.2902,4.1386,4.2962
1/1/2010,18,1.4271,1.6787,1.8488,2.3249,3.1111,3.4795
1/1/2010,19,1.4953,1.7987,1.9814,2.3631,3.0106,3.6252
1/1/2010,20,1.3462,1.7172,2.0049,2.4805,2.9013,2.9376
1/1/2010,21,1.0478,1.1793,1.1509,1.3211,1.5533,1.453
1/1/2010,22,2.9717,3.6033,4.0293,4.7086,5.6842,5.8748
1/1/2010,23,4.6482,5.1756,5.8359,6.6609,7.8619,7.9202
1/2/2010,0,1.8401,2.1862,2.3929,2.8929,3.541,3.3024
1/2/2010,1,2.014,2.2434,2.333,2.7094,3.1636,3.2509
1/2/2010,2,1.7987,2.0632,2.2185,2.6354,3.5675,3.8876
1/2/2010,3,1.9321,2.3291,2.5851,3.1426,4.1119,5.2162
1/2/2010,4,2.4396,2.7634,3.0278,3.751,4.3221,4.5827
1/2/2010,5,2.4719,2.8061,3.0727,3.8921,5.1189,5.3418
1/2/2010,6,1.6015,1.8182,1.7854,1.9494,2.4821,2.628
1/2/2010,7,2.9459,3.3967,3.6782,4.1395,5.1352,5.6535
1/2/2010,8,1.8118,2.1842,2.4243,2.861,3.9979,4.6332
1/2/2010,9,1.6209,1.9836,2.2396,2.7202,3.6351,3.9903
1/2/2010,10,1.6047,1.8184,2.0232,2.4361,3.1522,3.5764
